"","package","afmfile","fontfile","FullName","FamilyName","FontName","Bold","Italic","Symbol","afmsymfile"
"349",NA,"econsans-condensed-primary-subset-md.afm.gz","C:\Users\HP\Documents\R\win-library\4.0\hrbrthemes\fonts\econ-sans\econsans-condensed-primary-subset-md.ttf","EconSansCndMed","EconSansCndMed","EconSansCndMed",FALSE,FALSE,FALSE,NA
"350",NA,"econsans-condensed-primary-subset-md-it.afm.gz","C:\Users\HP\Documents\R\win-library\4.0\hrbrthemes\fonts\econ-sans\econsans-condensed-primary-subset-md-it.ttf","EconSansCndMedIta","EconSansCndMedIta","EconSansCndMedIta",FALSE,TRUE,FALSE,NA
"351",NA,"econsans-condensed-primary-subset-rg.afm.gz","C:\Users\HP\Documents\R\win-library\4.0\hrbrthemes\fonts\econ-sans\econsans-condensed-primary-subset-rg.ttf","EconSansCndReg","EconSansCndReg","EconSansCndReg",FALSE,FALSE,FALSE,NA
"352",NA,"econsans-condensed-primary-subset-it.afm.gz","C:\Users\HP\Documents\R\win-library\4.0\hrbrthemes\fonts\econ-sans\econsans-condensed-primary-subset-it.ttf","EconSansCndRegIta","EconSansCndRegIta","EconSansCndRegIta",FALSE,TRUE,FALSE,NA
"353",NA,"BFTinyHand-Regular.afm.gz","C:\Users\HP\Documents\R\win-library\4.0\hrbrthemes\fonts\tinyhand\BFTinyHand-Regular.ttf","BFTinyHand-Regular","BF Tiny Hand","BFTinyHand-Regular",FALSE,FALSE,FALSE,NA
"354",NA,"IBMPlexSans-Regular.afm.gz","C:\Users\HP\Documents\R\win-library\4.0\hrbrthemes\fonts\plex-sans\IBMPlexSans-Regular.ttf","IBM Plex Sans","IBM Plex Sans","IBMPlexSans",FALSE,FALSE,FALSE,NA
"355",NA,"IBMPlexSans-Bold.afm.gz","C:\Users\HP\Documents\R\win-library\4.0\hrbrthemes\fonts\plex-sans\IBMPlexSans-Bold.ttf","IBM Plex Sans Bold","IBM Plex Sans","IBMPlexSans-Bold",TRUE,FALSE,FALSE,NA
"356",NA,"IBMPlexSans-Light.afm.gz","C:\Users\HP\Documents\R\win-library\4.0\hrbrthemes\fonts\plex-sans\IBMPlexSans-Light.ttf","IBM Plex Sans Light","IBM Plex Sans Light","IBMPlexSans-Light",FALSE,FALSE,FALSE,NA
"357",NA,"IBMPlexSans-Medium.afm.gz","C:\Users\HP\Documents\R\win-library\4.0\hrbrthemes\fonts\plex-sans\IBMPlexSans-Medium.ttf","IBM Plex Sans Medium","IBM Plex Sans Medium","IBMPlexSans-Medium",FALSE,FALSE,FALSE,NA
"358",NA,"IBMPlexSans-Text.afm.gz","C:\Users\HP\Documents\R\win-library\4.0\hrbrthemes\fonts\plex-sans\IBMPlexSans-Text.ttf","IBM Plex Sans Text","IBM Plex Sans Text","IBMPlexSans-Text",FALSE,FALSE,FALSE,NA
"359",NA,"IBMPlexSans-Thin.afm.gz","C:\Users\HP\Documents\R\win-library\4.0\hrbrthemes\fonts\plex-sans\IBMPlexSans-Thin.ttf","IBM Plex Sans Thin","IBM Plex Sans Thin","IBMPlexSans-Thin",FALSE,FALSE,FALSE,NA
"360",NA,"FiraSansCondensed-Light.afm.gz","E:\r\rtuts\spotifyr\FiraSansCondensed-Light.ttf","Fira Sans Condensed Light","Fira Sans Condensed Light","FiraSansCondensed-Light",FALSE,FALSE,FALSE,NA
"361",NA,"GABRWFFR.afm.gz","E:\r\fonts\GABRWFFR.TTF","Gabriel Weiss' Friends Font","Gabriel Weiss' Friends Font","GabrielWeissFriendsFont",FALSE,FALSE,FALSE,NA
